倉庫名,品番,月,数量
九州物流,BE1510SGW,2026-02-01,0.0
九州物流,BE1510SGW,2026-03-01,0.0
九州物流,BE1510SN,2025-04-01,0.0
九州物流,BE1510SN,2025-05-01,0.0
九州物流,BE1510SN,2025-06-01,0.0
九州物流,BE1510SN,2025-07-01,0.0
九州物流,BE1510SN,2025-08-01,0.0
九州物流,BE1510SN,2025-09-01,0.0
九州物流,BE1510SN,2025-10-01,0.0
九州物流,BE1510SN,2025-11-01,0.0
九州物流,BE1510SN,2025-12-01,0.0
九州物流,BE1510SN,2026-01-01,0.0
九州物流,BE1510SN,2026-02-01,0.0
九州物流,BE1510SN,2026-03-01,7.0
九州物流,BE1510WG,2025-04-01,0.0
九州物流,BE1510WG,2025-05-01,0.0
九州物流,BE1510WG,2025-06-01,0.0
九州物流,BE1510WG,2025-07-01,0.0
九州物流,BE1510WG,2025-08-01,0.0
九州物流,BE1510WG,2025-09-01,0.0
九州物流,BE1510WG,2025-10-01,3.0
九州物流,BE1510WG,2025-11-01,1.0
九州物流,BE1510WG,2025-12-01,0.0
九州物流,BE1510WG,2026-01-01,0.0
九州物流,BE1510WG,2026-02-01,7.0
九州物流,BE1510WG,2026-03-01,9.0
九州物流,BE1510XG,2025-04-01,0.0
九州物流,BE1510XG,2025-05-01,0.0
九州物流,BE1510XG,2025-06-01,0.0
九州物流,BE1510XG,2025-07-01,0.0
九州物流,BE1510XG,2025-08-01,1.0
九州物流,BE1510XG,2025-09-01,10.0
九州物流,BE1510XG,2025-10-01,0.0
九州物流,BE1510XG,2025-11-01,1.0
九州物流,BE1510XG,2025-12-01,1.0
九州物流,BE1510XG,2026-01-01,0.0
九州物流,BE1510XG,2026-02-01,0.0
九州物流,BE1510XG,2026-03-01,1.0
九州物流,BE1515SC,2025-04-01,23.0
九州物流,BE1515SC,2025-05-01,33.0
九州物流,BE1515SC,2025-06-01,12.0
九州物流,BE1515SC,2025-07-01,53.0
九州物流,BE1515SC,2025-08-01,12.0
九州物流,BE1515SC,2025-09-01,20.0
九州物流,BE1515SC,2025-10-01,81.0
九州物流,BE1515SC,2025-11-01,19.0
九州物流,BE1515SC,2025-12-01,12.0
九州物流,BE1515SC,2026-01-01,6.0
九州物流,BE1515SC,2026-02-01,13.0
九州物流,BE1515SC,2026-03-01,0.0
九州物流,BE1515SC2,2025-04-01,3.0
九州物流,BE1515SC2,2025-05-01,7.0
九州物流,BE1515SC2,2025-06-01,20.0
九州物流,BE1515SC2,2025-07-01,22.0
九州物流,BE1515SC2,2025-08-01,36.0
九州物流,BE1515SC2,2025-09-01,18.0
九州物流,BE1515SC2,2025-10-01,26.0
九州物流,BE1515SC2,2025-11-01,15.0
九州物流,BE1515SC2,2025-12-01,36.0
九州物流,BE1515SC2,2026-01-01,37.0
九州物流,BE1515SC2,2026-02-01,34.0
九州物流,BE1515SC2,2026-03-01,9.0
九州物流,BE1515SCW,2025-04-01,0.0
九州物流,BE1515SCW,2025-05-01,2.0
九州物流,BE1515SCW,2025-06-01,0.0
九州物流,BE1515SCW,2025-07-01,0.0
九州物流,BE1515SCW,2025-08-01,2.0
九州物流,BE1515SCW,2025-09-01,20.0
九州物流,BE1515SCW,2025-10-01,2.0
九州物流,BE1515SCW,2025-11-01,38.0
九州物流,BE1515SCW,2025-12-01,27.0
九州物流,BE1515SCW,2026-01-01,17.0
九州物流,BE1515SCW,2026-02-01,2.0
九州物流,BE1515SCW,2026-03-01,0.0
九州物流,BE1515SG,2025-04-01,51.0
九州物流,BE1515SG,2025-05-01,57.0
九州物流,BE1515SG,2025-06-01,32.0
九州物流,BE1515SG,2025-07-01,45.0
九州物流,BE1515SG,2025-08-01,36.0
九州物流,BE1515SG,2025-09-01,72.0
九州物流,BE1515SG,2025-10-01,96.0
九州物流,BE1515SG,2025-11-01,79.0
九州物流,BE1515SG,2025-12-01,34.0
九州物流,BE1515SG,2026-01-01,35.0
九州物流,BE1515SG,2026-02-01,41.0
九州物流,BE1515SG,2026-03-01,20.0
九州物流,BE1515SGP,2025-04-01,0.0
九州物流,BE1515SGP,2025-05-01,0.0
九州物流,BE1515SGP,2025-06-01,0.0
九州物流,BE1515SGP,2025-07-01,0.0
九州物流,BE1515SGP,2025-08-01,0.0
九州物流,BE1515SGP,2025-09-01,0.0
九州物流,BE1515SGP,2025-10-01,0.0
